Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Order_Year_Month,Customer_ID,Customer_Name,Customer_Label,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Amount,Payment_Method,Order_Status
O0051,2026-01-01,2026,1,January,1,Thursday,2026-01,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,899,4,3596,Net Banking,Delivered
O0091,2026-01-01,2026,1,January,1,Thursday,2026-01,C002,Zoya Khan,Zoya Khan (Regular),Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Credit Card,Delivered
O0022,2026-01-02,2026,1,January,2,Friday,2026-01,C023,Nikhil Sood,Nikhil Sood (Premium),Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,899,4,3596,Net Banking,Delivered
O0106,2026-01-02,2026,1,January,2,Friday,2026-01,C001,Aarav Sharma,Aarav Sharma (Premium),Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,1,3499,Net Banking,Delivered
O0076,2026-01-03,2026,1,January,3,Saturday,2026-01,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,999,1,999,Debit Card,Delivered
O0041,2026-01-04,2026,1,January,4,Sunday,2026-01,C008,Sara Ahmed,Sara Ahmed (Premium),Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Cash on Delivery,Delivered
O0108,2026-01-04,2026,1,January,4,Sunday,2026-01,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Net Banking,Delivered
O0018,2026-01-05,2026,1,January,5,Monday,2026-01,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Cancelled
O0104,2026-01-05,2026,1,January,5,Monday,2026-01,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Debit Card,Shipped
O0110,2026-01-05,2026,1,January,5,Monday,2026-01,C007,Aditya Verma,Aditya Verma (Regular),Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,UPI,Delivered
O0028,2026-01-07,2026,1,January,7,Wednesday,2026-01,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,UPI,Delivered
O0056,2026-01-08,2026,1,January,8,Thursday,2026-01,C015,Karan Joshi,Karan Joshi (Regular),Chandigarh,North,Regular,P018,Football,Sports,SportZone,799,3,2397,Debit Card,Delivered
O0021,2026-01-09,2026,1,January,9,Friday,2026-01,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,1,2499,Debit Card,Cancelled
O0046,2026-01-09,2026,1,January,9,Friday,2026-01,C019,Yusuf Dar,Yusuf Dar (New),Srinagar,North,New,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Cash on Delivery,Delivered
O0043,2026-01-10,2026,1,January,10,Saturday,2026-01,C003,Rohan Mehta,Rohan Mehta (Premium),Mumbai,West,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,4,2796,Net Banking,Delivered
O0027,2026-01-11,2026,1,January,11,Sunday,2026-01,C002,Zoya Khan,Zoya Khan (Regular),Delhi,North,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Cash on Delivery,Shipped
O0034,2026-01-13,2026,1,January,13,Tuesday,2026-01,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,Credit Card,Delivered
O0045,2026-01-14,2026,1,January,14,Wednesday,2026-01,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P017,Yoga Mat,Sports,FitLife,899,1,899,Debit Card,Cancelled
O0029,2026-01-15,2026,1,January,15,Thursday,2026-01,C005,Kabir Ali,Kabir Ali (New),Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Cash on Delivery,Cancelled
O0112,2026-01-15,2026,1,January,15,Thursday,2026-01,C012,Aisha Mir,Aisha Mir (Premium),Delhi,North,Premium,P006,Hoodie,Clothing,UrbanWear,1599,4,6396,UPI,Delivered
O0079,2026-01-16,2026,1,January,16,Friday,2026-01,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Debit Card,Delivered
O0094,2026-01-17,2026,1,January,17,Saturday,2026-01,C011,Vivaan Kapoor,Vivaan Kapoor (New),Jaipur,North,New,P002,Mechanical Keyboard,Electronics,KeyPro,2499,4,9996,Net Banking,Cancelled
O0099,2026-01-17,2026,1,January,17,Saturday,2026-01,C010,Mehak Bhat,Mehak Bhat (Premium),Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,2,2998,UPI,Shipped
O0081,2026-01-19,2026,1,January,19,Monday,2026-01,C022,Alina Shah,Alina Shah (New),Pune,West,New,P018,Football,Sports,SportZone,799,2,1598,Credit Card,Delivered
O0102,2026-01-20,2026,1,January,20,Tuesday,2026-01,C021,Aman Kumar,Aman Kumar (Regular),Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Credit Card,Shipped
O0071,2026-01-21,2026,1,January,21,Wednesday,2026-01,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,1,599,UPI,Delivered
O0120,2026-01-21,2026,1,January,21,Wednesday,2026-01,C013,Rahul Das,Rahul Das (Regular),Kolkata,East,Regular,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Cash on Delivery,Cancelled
O0025,2026-01-22,2026,1,January,22,Thursday,2026-01,C026,Fatima Noor,Fatima Noor (Regular),Srinagar,North,Regular,P008,Sneakers,Clothing,StepUp,2999,2,5998,Cash on Delivery,Cancelled
O0105,2026-01-22,2026,1,January,22,Thursday,2026-01,C020,Priya Menon,Priya Menon (Premium),Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,599,4,2396,UPI,Delivered
O0115,2026-01-23,2026,1,January,23,Friday,2026-01,C014,Sana Malik,Sana Malik (New),Mumbai,West,New,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Credit Card,Delivered
O0002,2026-01-25,2026,1,January,25,Sunday,2026-01,C006,Ishita Gupta,Ishita Gupta (Premium),Bengaluru,South,Premium,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Debit Card,Delivered
O0032,2026-01-25,2026,1,January,25,Sunday,2026-01,C017,Dev Patel,Dev Patel (Premium),Ahmedabad,West,Premium,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Credit Card,Shipped
O0038,2026-01-25,2026,1,January,25,Sunday,2026-01,C024,Maryam Khan,Maryam Khan (Regular),Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Credit Card,Delivered
